domain,redirect,agency,status,title,description,keywords,robots,viewport,canonical,og_locale,og_site_name,og_type,og_title,og_description,og_url,og_image,og_image_width,og_image_height,og_image_alt,twitter_site,twitter_card,twitter_title,twitter_description,twitter_image
combinedfederal.org,"http://www.combinedfederal.org/","Office of Personnel Management",200,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cfcgiving.org,"http://www.cfcgiving.org","Office of Personnel Management",200,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
fedroom.com,"http://fedroom.com","General Services Administration",200,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
doi.net,"undefined","Department of the Interior",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
rfj.tips,"https://rfj.tips/","Department of State",200,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,false,true,true,true
workforcegps.org,"undefined","Department of Labor",403,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
whatcanyoudocampaign.org,"https://www.whatcanyoudocampaign.org/","Department of Labor",200,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false
ustedquepuedehacer.org,"https://www.whatcanyoudocampaign.org/espanol/","Department of Labor",200,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false
useuosh.org,"https://www.useuosh.org/","Department of Labor",200,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
servicelocator.org,"undefined","Department of Labor",403,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
peatworks.org,"https://www.peatworks.org/","Department of Labor",200,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true
onetcenter.org,"https://www.onetcenter.org/","Department of Labor",200,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
neapmap.com,"https://neapmap.com/","Department of Labor",200,true,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false
mynextmove.org,"https://www.mynextmove.org/","Department of Labor",200,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true
joinjobcorps.com,"undefined","Department of Labor",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jobcorps.org,"undefined","Department of Labor",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jctalentworks.com,"https://info.joinjobcorps.com/searchcareers","Department of Labor",200,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false
jcsuccess.org,"http://www.jcsuccess.org","Department of Labor",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jcmarketplace.com,"https://jcmarketplace.com/","Department of Labor",200,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,false,false,false
inclusiveapprenticeship.org,"https://www.dol.gov/agencies/odep/program-areas/apprenticeship/pia","Department of Labor",200,true,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,true
euusosh.org,"https://www.euusosh.org/","Department of Labor",200,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
epolicyworks.org,"http://epolicyworks.org","Department of Labor",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
capeyouth.org,"https://capeyouth.org/","Department of Labor",200,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
