domain,agency,status,hsts,max_age,expire_time,csp,x_content_type_options,security_txt
pubmed-central.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmed-central.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
qualitynet.org,"Department of Health and Human Services",302,false,-1,-1,true,false,false
pubmed-central.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmed-central.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.us,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
psoppc.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.biz,"Department of Health and Human Services",500,false,-1,-1,false,false,false
proteincapture.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
presidentschallenge.org,"Department of Health and Human Services",301,false,-1,-1,true,false,false
phiresearchlab.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
phs-nurse.org,"Department of Health and Human Services",302,false,-1,-1,false,true,false
pccqualitymonitoring.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pccds-ln.org,"Department of Health and Human Services",200,false,-1,-1,false,false,false
oahpmdata.net,"Department of Health and Human Services",302,true,31536000,1729066702445,true,true,false
nlmgiftshop.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nlmgiftshop.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nlmgiftshop.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pcorcds-ln.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nlm.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nlm.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
sitenv.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nihseniorhealth.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nihseniorhealth.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nihseniorhealth.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nihseniorhealth.biz,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nihseniorhealth.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
ncihub.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
nih.com,"Department of Health and Human Services",302,true,31557600,1729066724045,true,true,false
nci-fyi.org,"Department of Health and Human Services",200,true,15552000,1729050718445,false,true,false
ncats.io,"Department of Health and Human Services",301,true,15768000,1729050934445,false,false,false
nhlbiwgs.org,"Department of Health and Human Services",200,true,31536000,1729066702445,false,true,false
mesh.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
ncands.net,"Department of Health and Human Services",301,false,-1,-1,true,true,false
mepstech.com,"Department of Health and Human Services",200,false,-1,-1,false,false,false
namrs.net,"Department of Health and Human Services",302,true,31536000,1729066702445,false,true,false
mepsdocs.org,"Department of Health and Human Services",302,true,31536000,1729066702445,false,false,false
medlneplus.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlneplus.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlineplus.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlineplus.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlineplus.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlars.us,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlars.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlars.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlars.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medlars.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medicalbillrights.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medicalbillrights.net,"Department of Health and Human Services",200,false,-1,-1,false,false,false
loansomedoc.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
medicalbillrights.com,"Department of Health and Human Services",200,false,-1,-1,false,false,false
loansomedoc.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
informationrx.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
igm.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
informationrx.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
howrightnow.org,"Department of Health and Human Services",401,true,31536000,1729066702445,undefined,false,false
hfpp-ttp.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
howrightnow.com,"Department of Health and Human Services",401,true,31536000,1729066702445,undefined,false,false
