domain,agency,status,redirect,valid,sitemap,allowed
cfpb.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerbureau.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerfinance.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerfinancialbureau.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerfinancial.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerfinancialprotectionbureau.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerprotection.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
consumerprotectionbureau.gov,"Consumer Financial Protection Bureau",500,"null",false,"null",false
mimm.gov,"Consumer Financial Protection Bureau",200,"https://www.mimm.gov/robots.txt",true,"null",true
anchorit.gov,"Consumer Product Safety Commission",404,"https://www.anchorit.gov/robots.txt",false,"null",false
atvsafety.gov,"Consumer Product Safety Commission",200,"https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center",false,"null",false
cpsc.gov,"Consumer Product Safety Commission",200,"https://www.cpsc.gov/robots.txt",true,"null",true
drywallresponse.gov,"Consumer Product Safety Commission",200,"https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Drywall-Information-Center",false,"null",false
poolsafety.gov,"Consumer Product Safety Commission",404,"https://www.poolsafely.gov/robots.txt",false,"null",false
poolsafely.gov,"Consumer Product Safety Commission",404,"https://www.poolsafely.gov/robots.txt",false,"null",false
saferproducts.gov,"Consumer Product Safety Commission",404,"https://www.saferproducts.gov/robots.txt",false,"null",false
saferproduct.gov,"Consumer Product Safety Commission",404,"https://www.saferproducts.gov/robots.txt",false,"null",false
recalls.gov,"Consumer Product Safety Commission",200,"https://www.recalls.gov/robots.txt",true,"null",true
acc.gov,"Corporation for National & Community Service",200,"https://www.acc.gov/robots.txt",true,"null",true
americanclimatecorps.gov,"Corporation for National & Community Service",200,"https://www.acc.gov/robots.txt",true,"null",true
seguridadconsumidor.gov,"Consumer Product Safety Commission",200,"https://www.cpsc.gov/es/SeguridadConsumidor",false,"null",false
americorps.gov,"Corporation for National & Community Service",200,"http://americorps.gov/robots.txt",true,"null",true
ccc.gov,"Corporation for National & Community Service",500,"null",false,"null",false
cncs.gov,"Corporation for National & Community Service",500,"null",false,"null",false
americorpsoig.gov,"Corporation for National & Community Service",200,"https://www.americorpsoig.gov/robots.txt",true,"null",true
cns.gov,"Corporation for National & Community Service",500,"null",false,"null",false
cncsoig.gov,"Corporation for National & Community Service",404,"http://cncsoig.gov/robots.txt",false,"null",false
joinamericorps.gov,"Corporation for National & Community Service",500,"null",false,"null",false
mentor.gov,"Corporation for National & Community Service",500,"null",false,"null",false
mlkday.gov,"Corporation for National & Community Service",500,"null",false,"null",false
nationalservice.gov,"Corporation for National & Community Service",500,"null",false,"null",false
serve.gov,"Corporation for National & Community Service",500,"null",false,"null",false
vistacampus.gov,"Corporation for National & Community Service",500,"null",false,"null",false
cigie.gov,"Council of Inspectors General on Integrity and Efficiency",500,"null",false,"null",false
presidentialserviceawards.gov,"Corporation for National & Community Service",200,"https://d302laedhb14lz.cloudfront.net/2f1df44d-a1a0-4e2d-a6f5-434f1cea4c0a/robots.txt",true,"null",true
volunteeringinamerica.gov,"Corporation for National & Community Service",500,"null",false,"null",false
ignet.gov,"Council of Inspectors General on Integrity and Efficiency",200,"https://www.ignet.gov/robots.txt",true,"null",true
oversight.gov,"Council of Inspectors General on Integrity and Efficiency",200,"https://www.oversight.gov/robots.txt",true,"null",true
pandemicoversight.gov,"Council of Inspectors General on Integrity and Efficiency",200,"https://www.pandemicoversight.gov/robots.txt",true,"https://pandemicoversight.gov/sitemap.xml",true
csosa.gov,"Court Services and Offender Supervision",200,"https://www.csosa.gov/robots.txt",true,"https://www.csosa.gov/wp-sitemap.xml",true
dnfsb.gov,"Defense Nuclear Facilities Safety Board",500,"null",false,"null",false
dra.gov,"Delta Regional Authority",200,"https://dra.gov/robots.txt",true,"https://dra.gov/sitemap_index.xml",true
denali.gov,"Denali Commission",200,"http://denali.gov/robots.txt",true,"null",true
2020census.gov,"Department of Commerce",503,"https://2020census.gov/robots.txt",false,"null",false
goldwaterscholarship.gov,"Barry Goldwater Scholarship and Excellence in Education Foundation",500,"null",false,"null",false
ap.gov,"Department of Commerce",200,"https://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap",false,"null",false
aviationweather.gov,"Department of Commerce",404,"https://aviationweather.gov/robots.txt",false,"null",false
odci.gov,"Central Intelligence Agency",500,"null",false,"null",false
bldrdoc.gov,"Department of Commerce",500,"null",false,"null",false
bis.gov,"Department of Commerce",404,"https://www.bis.gov/robots.txt",false,"null",false
bea.gov,"Department of Commerce",200,"https://www.bea.gov/robots.txt",true,"null",true
buyusa.gov,"Department of Commerce",500,"null",false,"null",false
census.gov,"Department of Commerce",200,"https://www.census.gov/robots.txt",true,"null",true
commerce.gov,"Department of Commerce",200,"https://www.commerce.gov/robots.txt",true,"null",true
chips.gov,"Department of Commerce",404,"https://www.nist.gov/chips/robots.txt",false,"null",false
climate.gov,"Department of Commerce",200,"https://www.climate.gov/robots.txt",true,"null",true
cwc.gov,"Department of Commerce",404,"https://www.cwc.gov/robots.txt",false,"null",false
dataprivacyframework.gov,"Department of Commerce",200,"https://www.dataprivacyframework.gov/robots.txt",true,"null",true
drought.gov,"Department of Commerce",200,"https://www.drought.gov/robots.txt",true,"null",true
doc.gov,"Department of Commerce",200,"https://www.commerce.gov/robots.txt",true,"null",true
eda.gov,"Department of Commerce",200,"https://www.eda.gov/robots.txt",true,"null",true
edison.gov,"Department of Commerce",404,"https://www.nist.gov/iedison/robots.txt",false,"null",false
firstnet.gov,"Department of Commerce",403,"http://firstnet.gov/robots.txt",false,"null",false
export.gov,"Department of Commerce",200,"https://www.trade.gov/export-solutions",false,"null",false
goes-r.gov,"Department of Commerce",404,"https://www.goes-r.gov/robots.txt",false,"null",false
fishwatch.gov,"Department of Commerce",200,"https://www.fisheries.noaa.gov/topic/sustainable-seafood",false,"null",false
gps.gov,"Department of Commerce",200,"https://www.gps.gov/robots.txt",true,"null",true
heat.gov,"Department of Commerce",500,"null",false,"null",false
icams-portal.gov,"Department of Commerce",403,"https://www.icams-portal.gov/robots.txt",false,"null",false
hurricanes.gov,"Department of Commerce",503,"https://www.nhc.noaa.gov/robots.txt",false,"null",false
iedison.gov,"Department of Commerce",404,"https://www.nist.gov/iedison/robots.txt",false,"null",false
pretrialservices.gov,"Court Services and Offender Supervision",500,"null",false,"null",false
psa.gov,"Court Services and Offender Supervision",500,"null",false,"null",false
internetforall.gov,"Department of Commerce",200,"https://www.internetforall.gov/robots.txt",true,"null",true
internet4all.gov,"Department of Commerce",200,"https://www.internetforall.gov/robots.txt",true,"null",true
luca-appeals.gov,"Department of Commerce",500,"null",false,"null",false
marinecadastre.gov,"Department of Commerce",404,"https://marinecadastre.gov/robots.txt",false,"null",false
manufacturing.gov,"Department of Commerce",200,"https://www.manufacturing.gov/robots.txt",true,"null",true
mbda.gov,"Department of Commerce",200,"https://www.mbda.gov/robots.txt",true,"null",true
my2020census.gov,"Department of Commerce",400,"http://my2020census.gov/robots.txt",false,"null",false
nehrp.gov,"Department of Commerce",200,"https://nehrp.gov/robots.txt",true,"null",true
mgi.gov,"Department of Commerce",200,"https://www.mgi.gov/robots.txt",true,"null",true
nist.gov,"Department of Commerce",200,"https://www.nist.gov/robots.txt",true,"https://www.nist.gov/sitemap.xml",true
noaa.gov,"Department of Commerce",500,"null",false,"null",false
ntia.gov,"Department of Commerce",404,"http://ntia.gov/robots.txt",false,"null",false
nwirp.gov,"Department of Commerce",500,"null",false,"null",false
ofcm.gov,"Department of Commerce",500,"null",false,"null",false
dnsops.gov,"Department of Commerce",500,"null",false,"null",false
